Cidade,Transportadora,UF,Prazo,Capital/Interior
ESTIVA,RODONAVES,MG,7,INTERIOR
HELIODORA,RODONAVES,MG,11,INTERIOR
MONTE VERDE,RODONAVES,MG,11,INTERIOR
NATERCIA,RODONAVES,MG,11,INTERIOR
POUSO ALEGRE,RODONAVES,MG,7,INTERIOR
SAO JOAO DA MATA,RODONAVES,MG,11,INTERIOR
SAO SEBASTIAO DA BELA VISTA,RODONAVES,MG,12,INTERIOR
SENADOR AMARAL,RODONAVES,MG,21,INTERIOR
SENADOR JOSE BENTO,RODONAVES,MG,21,INTERIOR
SILVIANOPOLIS,RODONAVES,MG,11,INTERIOR
TURVOLANDIA,RODONAVES,MG,21,INTERIOR
IBIAI,RODONAVES,MG,17,INTERIOR
LAGOA DOS PATOS,RODONAVES,MG,17,INTERIOR
LASSANCE,RODONAVES,MG,17,INTERIOR
PONTO CHIQUE,RODONAVES,MG,18,INTERIOR
SANTA FE DE MINAS,RODONAVES,MG,18,INTERIOR
ALFREDO MARCONDES,RODONAVES,SP,11,INTERIOR
ALVARES MACHADO,RODONAVES,SP,8,INTERIOR
ANHUMAS,RODONAVES,SP,8,INTERIOR
CAIABU,RODONAVES,SP,11,INTERIOR
CAIUA,RODONAVES,SP,8,INTERIOR
EMILIANOPOLIS,RODONAVES,SP,11,INTERIOR
ESPIGAO,RODONAVES,SP,8,INTERIOR
ESTRELA DO NORTE,RODONAVES,SP,11,INTERIOR
EUCLIDES DA CUNHA PAULISTA,RODONAVES,SP,12,INTERIOR
INDIANA,RODONAVES,SP,8,INTERIOR
MARABA PAULISTA,RODONAVES,SP,11,INTERIOR
MARTINOPOLIS,RODONAVES,SP,8,INTERIOR
MIRANTE DO PARANAPANEMA,RODONAVES,SP,11,INTERIOR
NARANDIBA,RODONAVES,SP,11,INTERIOR
PIQUEROBI,RODONAVES,SP,8,INTERIOR
PIRAPOZINHO,RODONAVES,SP,7,INTERIOR
PRESIDENTE BERNARDES,RODONAVES,SP,8,INTERIOR
PRESIDENTE EPITACIO,RODONAVES,SP,7,INTERIOR
PRESIDENTE PRUDENTE,RODONAVES,SP,7,INTERIOR
PRESIDENTE VENCESLAU,RODONAVES,SP,7,INTERIOR
PRIMAVERA,RODONAVES,SP,11,INTERIOR
REGENTE FEIJO,RODONAVES,SP,7,INTERIOR
RIBEIRAO DOS INDIOS,RODONAVES,SP,11,INTERIOR
ROSANA,RODONAVES,SP,11,INTERIOR
SANDOVALINA,RODONAVES,SP,11,INTERIOR
SANTO ANASTACIO,RODONAVES,SP,7,INTERIOR
SANTO EXPEDITO,RODONAVES,SP,7,INTERIOR
TACIBA,RODONAVES,SP,11,INTERIOR
TARABAI,RODONAVES,SP,8,INTERIOR
TEODORO SAMPAIO,RODONAVES,SP,11,INTERIOR
BARRA DO TURVO,RODONAVES,SP,11,INTERIOR
CAJATI,RODONAVES,SP,8,INTERIOR
CANANEIA,RODONAVES,SP,11,INTERIOR
ELDORADO,RODONAVES,SP,8,INTERIOR
IGUAPE,RODONAVES,SP,7,INTERIOR
ILHA COMPRIDA,RODONAVES,SP,8,INTERIOR
IPORANGA,RODONAVES,SP,11,INTERIOR
ITARIRI,RODONAVES,SP,9,INTERIOR
JACUPIRANGA,RODONAVES,SP,7,INTERIOR
JUQUIA,RODONAVES,SP,9,INTERIOR
MIRACATU,RODONAVES,SP,9,INTERIOR
PARIQUERA-ACU,RODONAVES,SP,9,INTERIOR
PEDRO DE TOLEDO,RODONAVES,SP,9,INTERIOR
REGISTRO,RODONAVES,SP,6,INTERIOR
SETE BARRAS,RODONAVES,SP,9,INTERIOR
BONFIM PAULISTA,RODONAVES,SP,7,INTERIOR
RIBEIRAO PRETO,RODONAVES,SP,6,INTERIOR
AGUAS DE SAO PEDRO,RODONAVES,SP,7,INTERIOR
AJAPI,RODONAVES,SP,6,INTERIOR
ANALANDIA,RODONAVES,SP,9,INTERIOR
ASSISTENCIA,RODONAVES,SP,6,INTERIOR
CHARQUEADA,RODONAVES,SP,6,INTERIOR
CORDEIROPOLIS,RODONAVES,SP,6,INTERIOR
CORUMBATAI,RODONAVES,SP,9,INTERIOR
IPEUNA,RODONAVES,SP,6,INTERIOR
RIO CLARO,RODONAVES,SP,6,INTERIOR
SANTA GERTRUDES,RODONAVES,SP,6,INTERIOR
SAO PEDRO,RODONAVES,SP,6,INTERIOR
AGROLANDIA,RODONAVES,SC,11,INTERIOR
AGRONOMICA,RODONAVES,SC,7,INTERIOR
ATALANTA,RODONAVES,SC,11,INTERIOR
AURORA,RODONAVES,SC,9,INTERIOR
BRACO DO TROMBUDO,RODONAVES,SC,11,INTERIOR
CHAPADAO DO LAGEADO,RODONAVES,SC,11,INTERIOR
DONA EMMA,RODONAVES,SC,11,INTERIOR
IBIRAMA,RODONAVES,SC,8,INTERIOR
IMBUIA,RODONAVES,SC,11,INTERIOR
ITUPORANGA,RODONAVES,SC,9,INTERIOR
JOSE BOITEUX,RODONAVES,SC,11,INTERIOR
LAURENTINO,RODONAVES,SC,9,INTERIOR
LEOBERTO LEAL,RODONAVES,SC,11,INTERIOR
LONTRAS,RODONAVES,SC,8,INTERIOR
MIRIM DOCE,RODONAVES,SC,11,INTERIOR
PETROLANDIA,RODONAVES,SC,11,INTERIOR
POUSO REDONDO,RODONAVES,SC,8,INTERIOR
PRESIDENTE GETULIO,RODONAVES,SC,8,INTERIOR
PRESIDENTE NEREU,RODONAVES,SC,11,INTERIOR
RIO DO CAMPO,RODONAVES,SC,11,INTERIOR
RIO DO OESTE,RODONAVES,SC,9,INTERIOR
RIO DO SUL,RODONAVES,SC,7,INTERIOR
SALETE,RODONAVES,SC,11,INTERIOR
SANTA TEREZINHA,RODONAVES,SC,11,INTERIOR
TAIO,RODONAVES,SC,8,INTERIOR
TROMBUDO CENTRAL,RODONAVES,SC,11,INTERIOR
VIDAL RAMOS,RODONAVES,SC,11,INTERIOR
VITOR MEIRELES,RODONAVES,SC,11,INTERIOR
WITMARSUM,RODONAVES,SC,11,INTERIOR
LAGOA DO BAUZINHO,RODONAVES,GO,7,INTERIOR
MONTIVIDIU,RODONAVES,GO,7,INTERIOR
QUIRINOPOLIS,RODONAVES,GO,7,INTERIOR
RIO VERDE,RODONAVES,GO,7,INTERIOR
RIVERLANDIA,RODONAVES,GO,8,INTERIOR
SANTA HELENA DE GOIAS,RODONAVES,GO,9,INTERIOR
ALECRIM,RODONAVES,RS,10,INTERIOR
ALEGRIA,RODONAVES,RS,12,INTERIOR
BARRA DO GUARITA,RODONAVES,RS,12,INTERIOR
BOA VISTA DO BURICA,RODONAVES,RS,8,INTERIOR
BOM PROGRESSO,RODONAVES,RS,10,INTERIOR
BRAGA,RODONAVES,RS,12,INTERIOR
CAMPINA DAS MISSOES,RODONAVES,RS,10,INTERIOR
CAMPO NOVO,RODONAVES,RS,10,INTERIOR
CANDIDO GODOI,RODONAVES,RS,10,INTERIOR
CHIAPETTA,RODONAVES,RS,12,INTERIOR
CORONEL BICACO,RODONAVES,RS,10,INTERIOR
CRISSIUMAL,RODONAVES,RS,10,INTERIOR
DERRUBADAS,RODONAVES,RS,12,INTERIOR
DOUTOR MAURICIO CARDOSO,RODONAVES,RS,12,INTERIOR
ESPERANCA DO SUL,RODONAVES,RS,12,INTERIOR
GIRUA,RODONAVES,RS,8,INTERIOR
HORIZONTINA,RODONAVES,RS,8,INTERIOR
HUMAITA,RODONAVES,RS,10,INTERIOR
INDEPENDENCIA,RODONAVES,RS,8,INTERIOR
INHACORA,RODONAVES,RS,12,INTERIOR
MIRAGUAI,RODONAVES,RS,10,INTERIOR
NOVA CANDELARIA,RODONAVES,RS,10,INTERIOR
NOVO MACHADO,RODONAVES,RS,12,INTERIOR
PIRAPO,RODONAVES,RS,12,INTERIOR
PORTO LUCENA,RODONAVES,RS,10,INTERIOR
PORTO MAUA,RODONAVES,RS,12,INTERIOR
PORTO VERA CRUZ,RODONAVES,RS,12,INTERIOR
PORTO XAVIER,RODONAVES,RS,10,INTERIOR
REDENTORA,RODONAVES,RS,10,INTERIOR
SANTA ROSA,RODONAVES,RS,8,INTERIOR
SANTO AUGUSTO,RODONAVES,RS,10,INTERIOR
SANTO CRISTO,RODONAVES,RS,8,INTERIOR
SAO JOSE DO INHACORA,RODONAVES,RS,12,INTERIOR
SAO MARTINHO,RODONAVES,RS,10,INTERIOR
SAO PAULO DAS MISSOES,RODONAVES,RS,10,INTERIOR
SAO VALERIO DO SUL,RODONAVES,RS,12,INTERIOR
SEDE NOVA,RODONAVES,RS,12,INTERIOR
SENADOR SALGADO FILHO,RODONAVES,RS,12,INTERIOR
TENENTE PORTELA,RODONAVES,RS,10,INTERIOR
TIRADENTES DO SUL,RODONAVES,RS,12,INTERIOR
TRES DE MAIO,RODONAVES,RS,8,INTERIOR
TRES PASSOS,RODONAVES,RS,9,INTERIOR
TUCUNDUVA,RODONAVES,RS,8,INTERIOR
TUPARENDI,RODONAVES,RS,8,INTERIOR
UBIRETAMA,RODONAVES,RS,12,INTERIOR
VISTA GAUCHA,RODONAVES,RS,12,INTERIOR
AGUDO,RODONAVES,RS,10,INTERIOR
CACAPAVA DO SUL,RODONAVES,RS,10,INTERIOR
DILERMANDO DE AGUIAR,RODONAVES,RS,12,INTERIOR
DONA FRANCISCA,RODONAVES,RS,10,INTERIOR
FAXINAL DO SOTURNO,RODONAVES,RS,10,INTERIOR
FORMIGUEIRO,RODONAVES,RS,12,INTERIOR
ITAARA,RODONAVES,RS,10,INTERIOR
IVORA,RODONAVES,RS,12,INTERIOR
JARI,RODONAVES,RS,12,INTERIOR
JULIO DE CASTILHOS,RODONAVES,RS,10,INTERIOR
LAVRAS DO SUL,RODONAVES,RS,12,INTERIOR
MATA,RODONAVES,RS,10,INTERIOR
NOVA PALMA,RODONAVES,RS,10,INTERIOR
PARAISO DO SUL,RODONAVES,RS,12,INTERIOR
PINHAL GRANDE,RODONAVES,RS,12,INTERIOR
QUEVEDOS,RODONAVES,RS,12,INTERIOR
RESTINGA SECA,RODONAVES,RS,10,INTERIOR
SANTA MARIA,RODONAVES,RS,8,INTERIOR
SANTANA DA BOA VISTA,RODONAVES,RS,12,INTERIOR
SAO JOAO DO POLESINE,RODONAVES,RS,10,INTERIOR
SAO MARTINHO DA SERRA,RODONAVES,RS,12,INTERIOR
SAO PEDRO DO SUL,RODONAVES,RS,10,INTERIOR
SAO SEPE,RODONAVES,RS,10,INTERIOR
SILVEIRA MARTINS,RODONAVES,RS,12,INTERIOR
TOROPI,RODONAVES,RS,12,INTERIOR
TUPANCIRETA,RODONAVES,RS,10,INTERIOR
BERTIOGA,RODONAVES,SP,7,INTERIOR
CUBATAO,RODONAVES,SP,8,INTERIOR
GUARUJA,RODONAVES,SP,6,INTERIOR
ITANHAEM,RODONAVES,SP,6,INTERIOR
MONGAGUA,RODONAVES,SP,8,INTERIOR
PERUIBE,RODONAVES,SP,6,INTERIOR
PRAIA GRANDE,RODONAVES,SP,6,INTERIOR
SANTOS,RODONAVES,SP,6,INTERIOR
SAO VICENTE,RODONAVES,SP,6,INTERIOR
BRAZOPOLIS,RODONAVES,MG,10,INTERIOR
CACHOEIRA DE MINAS,RODONAVES,MG,9,INTERIOR
CONCEICAO DAS PEDRAS,RODONAVES,MG,17,INTERIOR
CONCEICAO DOS OUROS,RODONAVES,MG,9,INTERIOR
CONSOLACAO,RODONAVES,MG,17,INTERIOR
CRISTINA,RODONAVES,MG,9,INTERIOR
DELFIM MOREIRA,RODONAVES,MG,17,INTERIOR
GONCALVES,RODONAVES,MG,17,INTERIOR
ITAJUBA,RODONAVES,MG,7,INTERIOR
MARIA DA FE,RODONAVES,MG,9,INTERIOR
MARMELOPOLIS,RODONAVES,MG,17,INTERIOR
PARAISOPOLIS,RODONAVES,MG,9,INTERIOR
PEDRALVA,RODONAVES,MG,9,INTERIOR
PIRANGUCU,RODONAVES,MG,17,INTERIOR
PIRANGUINHO,RODONAVES,MG,7,INTERIOR
SANTA RITA DO SAPUCAI,RODONAVES,MG,7,INTERIOR
SAO JOSE DO ALEGRE,RODONAVES,MG,9,INTERIOR
SAPUCAI-MIRIM,RODONAVES,MG,17,INTERIOR
WENCESLAU BRAZ,RODONAVES,MG,17,INTERIOR
ARROIO DO TIGRE,RODONAVES,RS,9,INTERIOR
CACHOEIRA DO SUL,RODONAVES,RS,8,INTERIOR
CANDELARIA,RODONAVES,RS,8,INTERIOR
CERRO BRANCO,RODONAVES,RS,10,INTERIOR
ENCRUZILHADA DO SUL,RODONAVES,RS,10,INTERIOR
HERVEIRAS,RODONAVES,RS,8,INTERIOR
IBARAMA,RODONAVES,RS,12,INTERIOR
LAGOA BONITA DO SUL,RODONAVES,RS,12,INTERIOR
LAGOAO,RODONAVES,RS,12,INTERIOR
NOVO CABRAIS,RODONAVES,RS,8,INTERIOR
PANTANO GRANDE,RODONAVES,RS,10,INTERIOR
PASSA SETE,RODONAVES,RS,9,INTERIOR
PASSO DO SOBRADO,RODONAVES,RS,9,INTERIOR
RIO PARDO,RODONAVES,RS,10,INTERIOR
SANTA CRUZ DO SUL,RODONAVES,RS,8,INTERIOR
SEGREDO,RODONAVES,RS,12,INTERIOR
SINIMBU,RODONAVES,RS,10,INTERIOR
SOBRADINHO,RODONAVES,RS,9,INTERIOR
VALE DO SOL,RODONAVES,RS,10,INTERIOR
VALE VERDE,RODONAVES,RS,9,INTERIOR
VENANCIO AIRES,RODONAVES,RS,7,INTERIOR
VERA CRUZ,RODONAVES,RS,8,INTERIOR
AGUA VERMELHA,RODONAVES,SP,7,INTERIOR
BROTAS,RODONAVES,SP,6,INTERIOR
DOURADO,RODONAVES,SP,9,INTERIOR
IBATE,RODONAVES,SP,8,INTERIOR
ITIRAPINA,RODONAVES,SP,6,INTERIOR
RIBEIRAO BONITO,RODONAVES,SP,9,INTERIOR
SAO CARLOS,RODONAVES,SP,6,INTERIOR
AGUAI,RODONAVES,SP,6,INTERIOR
AGUAS DA PRATA,RODONAVES,SP,9,INTERIOR
ALBERTINA,RODONAVES,MG,11,INTERIOR
ANDRADAS,RODONAVES,MG,6,INTERIOR
ESPIRITO SANTO DO PINHAL,RODONAVES,SP,6,INTERIOR
SANTO ANTONIO DO JARDIM,RODONAVES,SP,6,INTERIOR
SAO JOAO DA BOA VISTA,RODONAVES,SP,6,INTERIOR
ARACARIGUAMA,RODONAVES,SP,7,CAPITAL
BARUERI,RODONAVES,SP,6,CAPITAL
CAIEIRAS,RODONAVES,SP,6,CAPITAL
CARAPICUIBA,RODONAVES,SP,6,CAPITAL
COTIA,RODONAVES,SP,6,CAPITAL
DIADEMA,RODONAVES,SP,6,CAPITAL
EMBU DAS ARTES,RODONAVES,SP,6,CAPITAL
EMBU-GUACU,RODONAVES,SP,10,CAPITAL
FRANCISCO MORATO,RODONAVES,SP,6,CAPITAL
FRANCO DA ROCHA,RODONAVES,SP,6,CAPITAL
ITAPECERICA DA SERRA,RODONAVES,SP,6,CAPITAL
ITAPEVI,RODONAVES,SP,6,CAPITAL
JANDIRA,RODONAVES,SP,6,CAPITAL
JUQUITIBA,RODONAVES,SP,11,INTERIOR
OSASCO,RODONAVES,SP,6,CAPITAL
PIRAPORA DO BOM JESUS,RODONAVES,SP,7,CAPITAL
SANTANA DE PARNAIBA,RODONAVES,SP,6,CAPITAL
SAO BERNARDO DO CAMPO,RODONAVES,SP,6,CAPITAL
SAO CAETANO DO SUL,RODONAVES,SP,6,CAPITAL
SAO LOURENCO DA SERRA,RODONAVES,SP,11,INTERIOR
SAO PAULO,RODONAVES,SP,6,CAPITAL
TABOAO DA SERRA,RODONAVES,SP,6,CAPITAL
VARGEM GRANDE PAULISTA,RODONAVES,SP,6,CAPITAL
CACAPAVA,RODONAVES,SP,6,INTERIOR
CAMPOS DO JORDAO,RODONAVES,SP,7,INTERIOR
EUGENIO DE MELO,RODONAVES,SP,6,INTERIOR
GUARAREMA,RODONAVES,SP,8,INTERIOR
IGARATA,RODONAVES,SP,10,INTERIOR
JACAREI,RODONAVES,SP,6,INTERIOR
JAMBEIRO,RODONAVES,SP,8,INTERIOR
LAGOINHA,RODONAVES,SP,10,INTERIOR
MONTEIRO LOBATO,RODONAVES,SP,10,INTERIOR
MOREIRA CESAR,RODONAVES,SP,8,INTERIOR
NATIVIDADE DA SERRA,RODONAVES,SP,10,INTERIOR
PARAIBUNA,RODONAVES,SP,8,INTERIOR
PINDAMONHANGABA,RODONAVES,SP,6,INTERIOR
REDENCAO DA SERRA,RODONAVES,SP,10,INTERIOR
SANTA BRANCA,RODONAVES,SP,10,INTERIOR
SANTO ANTONIO DO PINHAL,RODONAVES,SP,10,INTERIOR
SAO BENTO DO SAPUCAI,RODONAVES,SP,10,INTERIOR
SAO FRANCISCO XAVIER,RODONAVES,SP,10,INTERIOR
SAO JOSE DOS CAMPOS,RODONAVES,SP,6,INTERIOR
SAO LUIZ DO PARAITINGA,RODONAVES,SP,10,INTERIOR
TAUBATE,RODONAVES,SP,6,INTERIOR
TREMEMBE,RODONAVES,SP,8,INTERIOR
ARAMINA,RODONAVES,SP,7,INTERIOR
BURITIZAL,RODONAVES,SP,7,INTERIOR
GUAIRA,RODONAVES,SP,6,INTERIOR
GUARA,RODONAVES,SP,6,INTERIOR
IGARAPAVA,RODONAVES,SP,6,INTERIOR
IPUA,RODONAVES,SP,6,INTERIOR
ITUVERAVA,RODONAVES,SP,6,INTERIOR
MIGUELOPOLIS,RODONAVES,SP,8,INTERIOR
SAO JOAQUIM DA BARRA,RODONAVES,SP,6,INTERIOR
SAO JOSE DA BELA VISTA,RODONAVES,SP,11,INTERIOR
CARAGUATATUBA,RODONAVES,SP,6,INTERIOR
ILHABELA,RODONAVES,SP,11,INTERIOR
SAO SEBASTIAO,RODONAVES,SP,8,INTERIOR
UBATUBA,RODONAVES,SP,8,INTERIOR
ADOLFO,RODONAVES,SP,9,INTERIOR
BADY BASSITT,RODONAVES,SP,6,INTERIOR
BALSAMO,RODONAVES,SP,6,INTERIOR
CEDRAL,RODONAVES,SP,7,INTERIOR
DUPLO CEU,RODONAVES,SP,11,INTERIOR
ENGENHEIRO BALDUINO,RODONAVES,SP,7,INTERIOR
ENGENHEIRO SCHMITT,RODONAVES,SP,7,INTERIOR
GUAPIACU,RODONAVES,SP,7,INTERIOR
ICEM,RODONAVES,SP,9,INTERIOR
IDA IOLANDA,RODONAVES,SP,8,INTERIOR
IPIGUA,RODONAVES,SP,9,INTERIOR
JACI,RODONAVES,SP,7,INTERIOR
JOSE BONIFACIO,RODONAVES,SP,6,INTERIOR
MACAUBAL,RODONAVES,SP,8,INTERIOR
MENDONCA,RODONAVES,SP,9,INTERIOR
MIRASSOL,RODONAVES,SP,6,INTERIOR
MIRASSOLANDIA,RODONAVES,SP,9,INTERIOR
MONCOES,RODONAVES,SP,11,INTERIOR
MONTE APRAZIVEL,RODONAVES,SP,6,INTERIOR
NEVES PAULISTA,RODONAVES,SP,6,INTERIOR
NIPOA,RODONAVES,SP,8,INTERIOR
NOVA ALIANCA,RODONAVES,SP,8,INTERIOR
NOVA GRANADA,RODONAVES,SP,7,INTERIOR
ONDA VERDE,RODONAVES,SP,9,INTERIOR
ORINDIUVA,RODONAVES,SP,9,INTERIOR
PALESTINA,RODONAVES,SP,7,INTERIOR
PAULO DE FARIA,RODONAVES,SP,9,INTERIOR
POLONI,RODONAVES,SP,8,INTERIOR
POTIRENDABA,RODONAVES,SP,8,INTERIOR
SAO JOSE DO RIO PRETO,RODONAVES,SP,6,INTERIOR
SEBASTIANOPOLIS DO SUL,RODONAVES,SP,11,INTERIOR
TANABI,RODONAVES,SP,6,INTERIOR
UBARANA,RODONAVES,SP,9,INTERIOR
UCHOA,RODONAVES,SP,8,INTERIOR
UNIAO PAULISTA,RODONAVES,SP,11,INTERIOR
CONCEICAO DA BARRA DE MINAS,RODONAVES,MG,17,INTERIOR
CORONEL XAVIER CHAVES,RODONAVES,MG,17,INTERIOR
LAGOA DOURADA,RODONAVES,MG,11,INTERIOR
MADRE DE DEUS DE MINAS,RODONAVES,MG,17,INTERIOR
PIEDADE DO RIO GRANDE,RODONAVES,MG,17,INTERIOR
RESENDE COSTA,RODONAVES,MG,8,INTERIOR
RIO DAS MORTES,RODONAVES,MG,17,INTERIOR
RITAPOLIS,RODONAVES,MG,17,INTERIOR
SANTA CRUZ DE MINAS,RODONAVES,MG,7,INTERIOR
SAO JOAO DEL REI,RODONAVES,MG,7,INTERIOR
SAO SEBASTIAO DA VITORIA,RODONAVES,MG,11,INTERIOR
SAO TIAGO,RODONAVES,MG,17,INTERIOR
TIRADENTES,RODONAVES,MG,11,INTERIOR
ANGATUBA,RODONAVES,SP,8,INTERIOR
APIAI,RODONAVES,SP,9,INTERIOR
BARRA DO CHAPEU,RODONAVES,SP,11,INTERIOR
BOM SUCESSO DE ITARARE,RODONAVES,SP,11,INTERIOR
BURI,RODONAVES,SP,9,INTERIOR
CAMPINA DO MONTE ALEGRE,RODONAVES,SP,8,INTERIOR
CAPAO BONITO,RODONAVES,SP,8,INTERIOR
GUAPIARA,RODONAVES,SP,9,INTERIOR
ITABERA,RODONAVES,SP,9,INTERIOR
ITAOCA,RODONAVES,SP,11,INTERIOR
ITAPEVA,RODONAVES,SP,6,INTERIOR
ITAPIRAPUA PAULISTA,RODONAVES,SP,11,INTERIOR
ITARARE,RODONAVES,SP,7,INTERIOR
NOVA CAMPINA,RODONAVES,SP,11,INTERIOR
RIBEIRA,RODONAVES,SP,11,INTERIOR
RIBEIRAO BRANCO,RODONAVES,SP,9,INTERIOR
RIBEIRAO GRANDE,RODONAVES,SP,11,INTERIOR
TAQUARIVAI,RODONAVES,SP,9,INTERIOR
CAPETINGA,RODONAVES,MG,11,INTERIOR
CASSIA,RODONAVES,MG,8,INTERIOR
DELFINOPOLIS,RODONAVES,MG,11,INTERIOR
IBIRACI,RODONAVES,MG,11,INTERIOR
ITAMOGI,RODONAVES,MG,9,INTERIOR
JACUI,RODONAVES,MG,9,INTERIOR
MONTE SANTO DE MINAS,RODONAVES,MG,8,INTERIOR
PRATAPOLIS,RODONAVES,MG,8,INTERIOR
SANTO ANTONIO DA ALEGRIA,RODONAVES,SP,9,INTERIOR
SAO SEBASTIAO DO PARAISO,RODONAVES,MG,6,INTERIOR
SAO TOMAS DE AQUINO,RODONAVES,MG,9,INTERIOR
BARRINHA,RODONAVES,SP,9,INTERIOR
DUMONT,RODONAVES,SP,9,INTERIOR
PONTAL,RODONAVES,SP,8,INTERIOR
SERTAOZINHO,RODONAVES,SP,6,INTERIOR
ARACAI,RODONAVES,MG,11,INTERIOR
CACHOEIRA DA PRATA,RODONAVES,MG,11,INTERIOR
CAETANOPOLIS,RODONAVES,MG,9,INTERIOR
CAPIM BRANCO,RODONAVES,MG,8,INTERIOR
CORDISBURGO,RODONAVES,MG,11,INTERIOR
FORTUNA DE MINAS,RODONAVES,MG,11,INTERIOR
INHAUMA,RODONAVES,MG,11,INTERIOR
MATOZINHOS,RODONAVES,MG,8,INTERIOR
PARAOPEBA,RODONAVES,MG,9,INTERIOR
PEDRO LEOPOLDO,RODONAVES,MG,8,INTERIOR
PRUDENTE DE MORAIS,RODONAVES,MG,8,INTERIOR
SAO JOSE DA LAPA,RODONAVES,MG,8,INTERIOR
SETE LAGOAS,RODONAVES,MG,7,INTERIOR
ABATIA,RODONAVES,PR,9,INTERIOR
ANDIRA,RODONAVES,PR,7,INTERIOR
ARAPOTI,RODONAVES,PR,8,INTERIOR
BANDEIRANTES,RODONAVES,PR,7,INTERIOR
BARRA DO JACARE,RODONAVES,PR,11,INTERIOR
CAMBARA,RODONAVES,PR,7,INTERIOR
CARLOPOLIS,RODONAVES,PR,11,INTERIOR
CONSELHEIRO MAIRINCK,RODONAVES,PR,10,INTERIOR
GUAPIRAMA,RODONAVES,PR,8,INTERIOR
IBAITI,RODONAVES,PR,8,INTERIOR
ITAMBARACA,RODONAVES,PR,11,INTERIOR
JABOTI,RODONAVES,PR,11,INTERIOR
JACAREZINHO,RODONAVES,PR,7,INTERIOR
JAGUARIAIVA,RODONAVES,PR,11,INTERIOR
JAPIRA,RODONAVES,PR,11,INTERIOR
JOAQUIM TAVORA,RODONAVES,PR,8,INTERIOR
JUNDIAI DO SUL,RODONAVES,PR,11,INTERIOR
PINHALAO,RODONAVES,PR,11,INTERIOR
QUATIGUA,RODONAVES,PR,9,INTERIOR
RIBEIRAO CLARO,RODONAVES,PR,11,INTERIOR
RIBEIRAO DO PINHAL,RODONAVES,PR,9,INTERIOR
SALTO DO ITARARE,RODONAVES,PR,11,INTERIOR
SANTA AMELIA,RODONAVES,PR,11,INTERIOR
SANTANA DO ITARARE,RODONAVES,PR,11,INTERIOR
SANTO ANTONIO DA PLATINA,RODONAVES,PR,6,INTERIOR
SAO JOSE DA BOA VISTA,RODONAVES,PR,11,INTERIOR
SENGES,RODONAVES,PR,11,INTERIOR
SIQUEIRA CAMPOS,RODONAVES,PR,7,INTERIOR
TOMAZINA,RODONAVES,PR,11,INTERIOR
WENCESLAU BRAZ,RODONAVES,PR,8,INTERIOR
BOCAIUVA,RODONAVES,MG,21,INTERIOR
BRASILIA DE MINAS,RODONAVES,MG,24,INTERIOR
CAPITAO ENEAS,RODONAVES,MG,12,INTERIOR
CORACAO DE JESUS,RODONAVES,MG,24,INTERIOR
ESPINOSA,RODONAVES,MG,24,INTERIOR
FRANCISCO SA,RODONAVES,MG,24,INTERIOR
ITACARAMBI,RODONAVES,MG,24,INTERIOR
JAIBA,RODONAVES,MG,24,INTERIOR
JANAUBA,RODONAVES,MG,21,INTERIOR
JANUARIA,RODONAVES,MG,22,INTERIOR
JAPONVAR,RODONAVES,MG,22,INTERIOR
LONTRA,RODONAVES,MG,22,INTERIOR
LUISLANDIA,RODONAVES,MG,24,INTERIOR
MAMONAS,RODONAVES,MG,24,INTERIOR
MATO VERDE,RODONAVES,MG,24,INTERIOR
MIRABELA,RODONAVES,MG,24,INTERIOR
MONTE AZUL,RODONAVES,MG,24,INTERIOR
MONTES CLAROS,RODONAVES,MG,9,INTERIOR
NOVA PORTEIRINHA,RODONAVES,MG,21,INTERIOR
PEDRAS DE MARIA DA CRUZ,RODONAVES,MG,22,INTERIOR
PORTEIRINHA,RODONAVES,MG,24,INTERIOR
RIO PARDO DE MINAS,RODONAVES,MG,24,INTERIOR
SALINAS,RODONAVES,MG,22,INTERIOR
SAO FRANCISCO,RODONAVES,MG,23,INTERIOR
SAO JOAO DA LAGOA,RODONAVES,MG,24,INTERIOR
SAO JOAO DO PARAISO,RODONAVES,MG,24,INTERIOR
TAIOBEIRAS,RODONAVES,MG,22,INTERIOR
VERDELANDIA,RODONAVES,MG,24,INTERIOR
BERIZAL,RODONAVES,MG,20,INTERIOR
BONITO DE MINAS,RODONAVES,MG,20,INTERIOR
BOTUMIRIM,RODONAVES,MG,20,INTERIOR
CAMPO AZUL,RODONAVES,MG,24,INTERIOR
CATUTI,RODONAVES,MG,24,INTERIOR
CHAPADA GAUCHA,RODONAVES,MG,20,INTERIOR
CLARO DOS POCOES,RODONAVES,MG,22,INTERIOR
CONEGO MARINHO,RODONAVES,MG,24,INTERIOR
CRISTALIA,RODONAVES,MG,24,INTERIOR
CURRAL DE DENTRO,RODONAVES,MG,20,INTERIOR
ENGENHEIRO NAVARRO,RODONAVES,MG,24,INTERIOR
FRANCISCO DUMONT,RODONAVES,MG,24,INTERIOR
FRUTA DE LEITE,RODONAVES,MG,20,INTERIOR
GAMELEIRAS,RODONAVES,MG,20,INTERIOR
GLAUCILANDIA,RODONAVES,MG,11,INTERIOR
GRAO MOGOL,RODONAVES,MG,24,INTERIOR
GUARACIAMA,RODONAVES,MG,24,INTERIOR
IBIRACATU,RODONAVES,MG,24,INTERIOR
